amount,amountfinancedByXepelin,PayerId,ReceiverId,days
-0.18990523864970701,-0.14074491062696884,151,19,0
-0.19360576218432402,-0.14074491062696884,126,18,0
-0.17338981898837183,-0.14074491062696884,114,37,7
-0.01799677535200343,-0.06091695861069914,122,12,10
-0.18998960695196943,-0.14074491062696884,55,34,22
-0.14319154806612047,-0.13514496858160951,159,16,24
0.9885272597334035,0.4619143735746753,85,13,35
-0.025007651472620858,0.06336678883068883,99,42,36
-0.15651654792805594,-0.13682413926849898,125,44,36
-0.15241365249034136,-0.13324771589579915,47,79,36
-0.15817276260016092,-0.0923328315345794,145,89,36
-0.19616277072981525,-0.14074491062696884,16,38,37
-0.1848548222788916,-0.14074491062696884,186,38,38
-0.18990653662358797,-0.14074491062696884,179,109,38
-0.15792433039934517,-0.1360062938320448,93,11,42
-0.101281788613355,-0.11202569674193706,58,15,49
-0.18587762569708807,-0.14074491062696884,152,145,50
-0.1901817070863515,-0.14074491062696884,63,14,50
0.3868423164985292,0.5449109644604434,127,92,64
0.6569107035307742,-0.14074491062696884,21,21,65
-0.005623125446117582,-0.0356082163476226,104,35,65
-0.18219566318896882,-0.14074491062696884,21,36,65
0.5862656195169873,0.7780811417617881,42,28,65
0.10671618945750125,0.21738124390993235,129,58,65
-0.18990523864970701,-0.14074491062696884,153,98,70
-0.19315017335210705,-0.14074491062696884,76,14,71
-0.1943819505651381,-0.14074491062696884,37,68,73
-0.18990523864970701,-0.14074491062696884,8,133,73
-0.18990523864970701,-0.14074491062696884,110,129,73
-0.19162505404197902,-0.14074491062696884,112,101,73
-0.19013498002663692,-0.14074491062696884,28,135,73
1.3431925871271804,1.6630970479796396,11,85,74
0.26827240247283207,0.4062763743322373,96,149,79
-0.13128185892398375,-0.060891386713122116,1,11,79
-0.18990523864970701,-0.14074491062696884,82,58,80
-0.1901817070863515,-0.14074491062696884,155,93,84
-0.18990653662358797,-0.14074491062696884,79,100,85
-0.1945441973002581,-0.14074491062696884,200,104,85
0.15319559575557448,-0.1038984620535509,23,105,85
-0.19281529609081935,-0.14074491062696884,89,143,85
-0.1901817070863515,-0.14074491062696884,113,14,86
-0.18990523864970701,-0.14074491062696884,120,101,86
-0.1901817070863515,-0.14074491062696884,100,14,86
-0.146127564984852,-0.07824931761679339,150,98,88
3.549588079680985,0.09677871150460876,173,37,88
1.3974092806283505,0.07156641399470844,46,80,92
-0.18990653662358797,-0.14074491062696884,125,16,92
-0.19235062144143567,-0.14074491062696884,29,153,92
-0.19315017335210705,-0.14074491062696884,117,16,92
0.9112525794265313,1.1580631494598534,44,11,92
-0.18990653662358797,-0.14074491062696884,126,58,93
-0.1921805868630299,-0.14074491062696884,79,91,93
-0.19235062144143567,-0.14074491062696884,108,14,93
-0.18990523864970701,-0.14074491062696884,7,19,93
-0.15260185870308057,-0.08581920634760337,66,14,93
-0.1439443729170773,-0.13723222729570728,157,35,93
0.18985816599717104,-0.001062327984115406,80,58,93
-0.12836089850227134,-0.05747613458805901,154,64,93
-0.15817276260016092,-0.0923328315345794,55,65,93
0.17584809552086483,0.07849821938212047,66,67,93
-0.08737711361618278,-0.1307997947805633,196,68,93
-0.16063891297398494,-0.09521630959964335,21,71,93
0.06767469268688121,-0.06910975448456465,49,73,93
0.1554992397995023,0.2744194752769657,28,14,93
-0.15792433039934517,-0.09204235906002507,121,14,93
-0.1662882144934753,-0.12940001794197817,195,77,93
-0.16040865240750263,-0.14018005245022316,167,58,93
0.15461843472388284,0.2733896183217276,169,42,93
-0.16396951395252835,-0.1294318879626973,30,46,93
-0.19342664178875152,-0.14074491062696884,96,67,93
1.906374108663787,-0.08055253366176406,122,85,93
-0.19475317109509266,-0.14074491062696884,158,84,93
0.0819976397671928,-0.10228424550412708,74,80,93
-0.19199108267640974,-0.14074491062696884,60,81,93
-0.19009604081020812,-0.14074491062696884,10,16,93
-0.18990523864970701,-0.14074491062696884,41,83,93
-0.18990523864970701,-0.14074491062696884,49,13,93
-0.19429628428899473,-0.14074491062696884,87,79,93
-0.10571956131235728,-0.031003377758717185,31,85,93
-0.18990653662358797,-0.14074491062696884,191,87,93
-0.1901817070863515,-0.14074491062696884,156,89,93
-0.187114594805643,-0.14074491062696884,80,95,94
-0.19162505404197902,-0.14074491062696884,12,154,94
-0.1439443729170773,-0.14029994443292845,153,46,94
-0.0577835687250707,-0.08914476712864265,16,54,94
-0.18990523864970701,-0.14074491062696884,143,58,94
2.8942348369096464,3.476610267897474,9,34,95
-0.18990653662358797,-0.14074491062696884,59,14,95
-0.1848548222788916,-0.14074491062696884,106,21,95
-0.18990523864970701,-0.14074491062696884,57,15,95
-0.18361967033377005,-0.14074491062696884,185,16,95
-0.18990653662358797,-0.14074491062696884,13,17,95
-0.1901817070863515,-0.14074491062696884,118,28,95
-0.1848678020177012,-0.14074491062696884,104,104,95
-0.16570101110972899,-0.12683501244110038,153,18,95
-0.18990653662358797,-0.14074491062696884,184,36,95
3.512721078553137,1.7902896177406635,157,35,95
-0.18990653662358797,-0.14074491062696884,164,19,95
-0.18838790718286477,-0.14074491062696884,184,83,98
-0.19024141388487564,-0.14074491062696884,50,117,98
-0.1921805868630299,-0.14074491062696884,20,18,98
-0.18990653662358797,-0.14074491062696884,169,84,98
1.3481544816793143,1.6688986058465483,194,92,98
-0.19204300163164814,-0.14074491062696884,141,14,98
0.36019231677465824,0.09312883532225151,29,16,98
0.8838346983546843,-0.0814860976258294,185,36,98
0.20477162629462536,-0.014799293367081778,67,60,98
21.67609672868223,25.436782429666547,106,126,98
-0.08584887916874047,-0.0778124706899362,41,127,98
-0.18219566318896882,-0.14074491062696884,155,58,98
-0.19571496974088404,-0.14074491062696884,173,58,98
-0.18990653662358797,-0.14074491062696884,141,67,98
0.31954730307150014,0.4662281326410126,175,89,98
-0.17339111696225276,-0.14074491062696884,168,14,99
-0.18990523864970701,-0.14074491062696884,149,14,99
-0.07407184295723789,0.0059998409642381765,76,101,99
-0.1921286679077915,-0.14074491062696884,150,79,99
-0.17339111696225276,-0.14074491062696884,192,14,99
-0.18219566318896882,-0.14074491062696884,63,86,99
-0.19162505404197902,-0.14074491062696884,84,14,99
-0.19028684297070925,-0.14074491062696884,125,14,99
-0.1848548222788916,-0.14074491062696884,82,12,100
-0.17326780944356157,-0.14074491062696884,27,55,100
-0.03661750864825577,-0.1278986364421004,155,13,100
-0.1901817070863515,-0.14074491062696884,25,10,100
-0.08115878034727955,-0.10371376769538339,186,11,100
-0.18486650404382024,-0.14074491062696884,151,122,102
-0.18924456994429836,-0.14074491062696884,112,87,102
-0.19315017335210705,-0.14074491062696884,7,85,102
0.8432192135573184,1.078517019483943,35,58,102
-0.1790636522142123,-0.11675892598573953,170,42,102
-0.18990653662358797,-0.14074491062696884,121,43,105
-0.10119897787974977,-0.025717810703451548,26,54,105
-0.12965575724591707,-0.05899011233422101,56,58,106
-0.19276207916170002,-0.14074491062696884,148,14,107
-0.18219566318896882,-0.14074491062696884,12,36,108
-0.19799940377137365,-0.14074491062696884,163,14,108
-0.18990653662358797,-0.14074491062696884,153,14,109
-0.18990523864970701,-0.14074491062696884,156,99,112
-0.17326780944356157,-0.14074491062696884,166,58,112
-0.18990653662358797,-0.14074491062696884,102,87,112
